"eco_values","species","latitude","longitude","date_obs","source","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","elevation","coord_id","tmax_mean_c","prec_mean_annual","temp_mean_c","occurrence_id.longitude.x","occurrence_id.latitude.x","tas_current_july_c","occurrence_id.longitude.y","occurrence_id.latitude.y","tas_future_july_2050_c","delta_tas_july_c","NDVI"
5,"Impatiens noli-tangere",46.7003,8.32122,2023-07-23,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2116,"8.32122_46.7003",4.04166666666669,190.833333333333,0.925000000000011,8.32122,46.7003,10.15,8.32122,46.7003,11.2500000000001,1.10000000000002,-0.0668
5,"Impatiens noli-tangere",46.7003,8.32122,2023-07-23,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2116,"8.32122_46.7003",4.04166666666669,190.833333333333,0.925000000000011,8.32122,46.7003,14.85,8.32122,46.7003,11.2500000000001,-3.59999999999997,-0.0668
5,"Impatiens noli-tangere",46.7003,8.32122,2023-07-23,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2116,"8.32122_46.7003",4.04166666666669,190.833333333333,0.925000000000011,8.32122,46.7003,19.35,8.32122,46.7003,11.2500000000001,-8.09999999999997,-0.0668
5,"Impatiens noli-tangere",46.78792,8.5846,2024-08-07,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2665,"8.5846_46.78792",0.31666666666672,212.166666666667,-3.01666666666665,8.5846,46.78792,10.15,8.5846,46.78792,7.35000000000002,-2.80000000000001,-0.032
5,"Impatiens noli-tangere",46.78792,8.5846,2024-08-07,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2665,"8.5846_46.78792",0.31666666666672,212.166666666667,-3.01666666666665,8.5846,46.78792,14.85,8.5846,46.78792,7.35000000000002,-7.5,-0.032
5,"Impatiens noli-tangere",46.78792,8.5846,2024-08-07,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2665,"8.5846_46.78792",0.31666666666672,212.166666666667,-3.01666666666665,8.5846,46.78792,19.85,8.5846,46.78792,7.35000000000002,-12.5,-0.032
5,"Impatiens noli-tangere",46.52342,7.73187,2025-08-11,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2491,"7.73187_46.52342",0.575000000000045,178.333333333333,-2.9083333333333,7.73187,46.52342,10.15,7.73187,46.52342,7.75000000000006,-2.39999999999998,-0.1125
5,"Impatiens noli-tangere",46.52342,7.73187,2025-08-11,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2491,"7.73187_46.52342",0.575000000000045,178.333333333333,-2.9083333333333,7.73187,46.52342,15.65,7.73187,46.52342,7.75000000000006,-7.89999999999998,-0.1125
5,"Impatiens noli-tangere",46.52342,7.73187,2025-08-11,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2491,"7.73187_46.52342",0.575000000000045,178.333333333333,-2.9083333333333,7.73187,46.52342,19.85,7.73187,46.52342,7.75000000000006,-12.1,-0.1125
6,"Impatiens noli-tangere",47.00814,8.98387,2024-08-04,"gbif","Polar","Moist","Snow and Ice","Mountains","Polar Moist",255,255,255,"Polar Moist Snow and Ice on Mountains","#FFFFFF",2460,"8.98387_47.00814",0.916666666666686,231.166666666667,-2.83333333333331,8.98387,47.00814,6.25000000000006,8.98387,47.00814,7.15000000000003,0.899999999999977,-0.0459
